CB,N,3,0|NA,N,4,0|FT,N,9,3|FR,N,9,3|SDT,C,7|LOC,C,20|PRO,C,2|SDR,C,7|LON,N,6,0|LAT,N,6,0|BN,N,7,3|CS,C,1|NRE,C,11|MME,C,20|MME2,C,20|PTX,N,4,1|PIM,N,6,1|TA,N,4,0|MMA,C,20|MMA2,C,20|POL,C,2|ACU,N,5,1|E,N,5,1|CT,N,4,0|HA,N,3,0|AAL,N,4,1|CON,C,1|SER_SIS1,C,5|OBS,C,40
11|1|1433|1487|LQC417|CIUDAD DE BUENOS AIR|CF|LSV973|582903|344055|4|2|C-0340|||30|-95|104||P4|H|137.1|0|16|124|5|A|MXD|
11|2|1487|1433|LSV973|ABASTO|BA|LQC417|580719|350004|4|2|C-0340|||30|-95|104||P4|H|317.1|0|25|82|3.5|A|MXD|
11|5|1439|1493||CIUDAD DE BUENOS AIR|CF||582421|343449|6|2|C-0214|NEC|TR6 PC120|25|-88|104||P4|H|217.6|0|5|106|5.6|A|MXD|
11|6|1493|1439||GONZALEZ CATAN|BA||584045|345224|6|2|C-0214|NEC|TR6 PC120|25|-88|104||P4|H|37.6|0|18|120|9.6|A|MXD|
11|105|1437|1491||CIUDAD DE BUENOS AIR|CF||582218|343552|2.5|2|C-0340|||36|-95|102||P2|V|218|0|8|110|11|A|MXD|
11|106|1491|1437||CIUDAD DE BUENOS AIR|CF||582742|344134|2.5|2|C-0340|||36|-95|102||P2|V|38|0|8|36|7.7|A|MXD|
11|111|1469|1523||CIUDAD DE BUENOS AIR|CF||582232|343612|2.9|2|C-0361|||25.2|-92.7|103||P3|V|257.5|0|5|119|4.6|A|MXD|
11|112|1523|1469||MERLO|BA||584447|343948|2.9|2|C-0361|||25.2|-92.7|103||P3|V|77.5|0|16|60|3.4|A|MXD|
11|115|1450|1504|AZS747|CIUDAD DE BUENOS AIR|CF|AZJ299|582218|343544|2|2|C-0000|||30|-95|103||P3|H|147.3|0|5|125|8.4|A|MXD|
11|116|1504|1450|AZJ299|FLORENCIO VARELA|BA|AZS747|581152|344905|2|2|C-0000|||30|-95|103||P3|H|327.3|0|10|55|8.4|A|MXD|
11|717|1429|1483|LSZ849|TORTUGUITAS|BA|LSZ848|584346|342725|4|2|C-0000|||27|-94.5|103||P3|V|119.4|-7|18|86|3.2|A|MXD|
11|718|1483|1429|LSZ848|CIUDAD DE BUENOS AIR|CF|LSZ849|582731|343457|4|2|C-0000|||27|-94.5|103||P3|V|299.4|-4|23|70|3.4|A|MXD|
11|185|1429|1483|AZD407|MENDOZA|MZ|AZD408|685028|325326|4|2|C-0316|ALCATEL|RMD-1502|30|-94|100||P1.5|H|174.5|0|750|27|2.7|A|MXD|
11|186|1483|1429|AZD408|AGRELO|MZ|AZD407|684907|330506|4|2|C-0316|ALCATEL|RMD-1502|30|-94|100||P1.5|H|354.5|0|1120|23|3.1|A|MXD|
11|197|1434|1488||LOMA DE LA LATA|NQ||684244|382436|2|2|C-0000|||27|-97.5|102||P2|H|332.1|0|380|59|8.6|A|MXD|
11|198|1488|1434||AÑELO|NQ||684716|381754|2|2|C-0000|||27|-97.5|102||P2|H|152.1|0|483|101|5.4|A|MXD|
11|199|1437|1491|AZD409|AGRELO|MZ|AZD408|684140|331930|4|2|C-0316|ALCATEL|RMD-1502|30|-94.5|100||P1.5|H|336.6|0|810|15|2.7|A|MXD|
11|200|1491|1437|AZD408|AGRELO|MZ|AZD409|684907|330506|4|2|C-0316|ALCATEL|RMD-1502|30|-94.5|100||P1.5|H|156.6|0|1120|23|2.1|A|MXD|
11|205|1460|1514||RESISTENCIA|CC||585912|272713|2|2|C-0316|||30|-94|100||P1.5|H|139.5|0|51|40|3|A|MXD|
11|206|1514|1460||BARRANQUERAS|CC||585614|273018|2|2|C-0316|||30|-94|100||P1.5|H|319.5|0|47|34|10.1|A|MXD|
11|207|1460|1514||NEUQUEN|NQ||680323|385710|2|2|C-0316|||30|-94|102||P2|H|263.1|0|265|40|5.9|A|MXD|
11|208|1514|1460||NEUQUEN|NQ||680842|385740|2|2|C-0316|||30|-94|102||P2|H|83.1|0|272|15|2.3|A|MXD|
11|209|1462|1516||AÑELO|NQ||685129|380259|2|2|C-0000|||27|-97.5|102||P2|V|167.5|0|231|65|5.4|A|MXD|
11|210|1516|1462||AÑELO|NQ||684716|381754|2|2|C-0000|||27|-97.5|102||P2|V|347.5|0|483|101|3.7|A|MXD|
11|217|1500.5|1500.5||CORDOBA|CD||641100|312500|0.016|1|C-0000|||42|0|999||NO DIRECCIONAL|V|360|0|400|100|0|A|SMA|
11|218|1510.5|1510.5||CORDOBA|CD||641100|312500|0.016|1|C-0000|||42|0|999||NO DIRECCIONAL|V|360|0|400|100|0|A|SMA|
11|219|1510.5|1510.5||RIO CUARTO|CD||642100|330800|0.016|1|C-0000|||42|0|999||NO DIRECCIONAL|V|360|0|434|100|0|A|SMA|
11|223|1470|1524|AZK26|VILLA MARIA (DPTO. G|CD|AZK754|631437|322433|1.6|2|C-0380|FACE|DM-2001|27|-95|102||P2|H|213.8|0|200|37|8.2|A|MXD|
11|224|1524|1470|AZK754|COLONIA LA PALESTINA|CD|AZK26|632432|323705|1.6|2|C-0380|FACE|DM-2001|27|-95|102||P2|H|33.8|0|204|18|5|A|MXD|
11|239|1462|1516|AZK27|OLIVA|CD|AZK765|633359|320227|1.6|2|C-0380|FACE|DM-2001|27|-95|102||P2|H|271.5|0|263|42|11.5|A|MXD|
11|240|1516|1462|AZK765|COLONIA ALMADA|CD|AZK27|635150|320205|1.6|2|C-0380|FACE|DM-2001|27|-95|102||P2|H|91.5|0|325|24|5.8|A|MXD|
11|241|1466|1520|AZK451|LABOULAYE|CD|AZK766|632322|340736|1.6|2|C-0380|FACE|DM-2001|27|-95|102||P2|H|103.6|0|138|24|8.2|A|MXD|
11|242|1520|1466|AZK766|ROSALES|CD|AZK451|630916|341024|1.6|2|C-0380|FACE|DM-2001|27|-95|102||P2|H|283.6|0|130|18|6.6|A|MXD|
11|243|1470|1524|AZK451|LABOULAYE|CD|AZK767|632322|340736|1.6|2|C-0380|FACE|DM-2001|27|-95|102||P2|H|149.1|0|138|24|8.2|A|MXD|
11|244|1524|1470|AZK767|VILLA ROSSI|CD|AZK451|631600|341745|1.6|2|C-0380|FACE|DM-2001|27|-95|102||P2|H|329.1|0|135|18|5.8|A|MXD|
11|245|1464|1518|AZK768|MINA CLAVERO|CD|AZK769|650011|314321|1.6|2|C-0380|FACE|DM-2001|27|-95|102||P2|H|179.1|0|875|15|5.8|A|MXD|
11|246|1518|1464|AZK769|NONO|CD|AZK768|650006|314748|1.6|2|C-0380|FACE|DM-2001|27|-95|102||P2|H|359.1|0|881|18|5|A|MXD|
11|265|1464|1518|AZK685|ADELIA MARIA|CD|AZK787|640116|333802|1.6|2|C-0380|FACE|DM-2001|27|-95|102||P2|H|92.1|0|262|35|11.4|A|MXD|
11|266|1518|1464|AZK787|MONTE DE LOS GAUCHOS|CD|AZK685|635322|333816|1.6|2|C-0380|FACE|DM-2001|27|-95|102||P2|H|272.1|0|217|18|5.3|A|MXD|
11|277|1464|1518|AZK28|RIO SEGUNDO|CD|AZK840|635422|313917|1.6|2|C-0380|FACE|DM-2001|27|-95|102||P2|H|272.1|0|337|30|7.4|A|MXD|
11|278|1518|1464|AZK840|LOZADA|CD|AZK28|640523|313857|1.6|2|C-0380|FACE|DM-2001|27|-95|102||P2|H|92.1|0|377|21|6.6|A|MXD|
11|295|1460|1514|AZK531|PEDRO LURO|BA|AZL32|624100|393008|1.6|2|C-0316|IATA|RMD-1502|30|-115|102|ANDREW|GP6-15|H|13.1|0|17|45|4.3|A|MXD|
