CB,NA,FT,FR,SDT,LOC,PRO,EST,EST2,EST3,EST4,EST5,EST6,SDR,LON,LAT,BN,CS,N,NRE,MME,MME2,PTX,PIM,TA,MMA,MMA2,POL,ACU,E,CT,HA,AAL,USU,ETI,CON,SER_SIS1
181,41,18470.000,0.000,,SAN SALVADOR DE JUJU,JJ,SAN S. DE JUJUY,,,,,4600,,651700,241145,72.000,1,TV,,EMCEE,MMT18505S,9.0,-65.0,0,ANDREW,HP4 - 180E,H,100.7,2.0,1275,20,1.8,RADIO VISION JUJUY S.A.,892CFR 91,R,TPTV
181,67,18630.000,18750.000,,CIUDADELA,BA,MOSCONI y Gral.PAZ,MOSCONI Y GRAL. PAZ,,,,1702,,583125,343929,14.000,2,120,C-0383,DMC,DMC 18-LC,20.0,-85.0,901,ANDREW,HP 1.2m.,V,65.3,0.3,25,30,1.5,C.R.M. S.A.,3713CNT 92,A,MXD
181,68,18750.000,18630.000,,CIUDAD DE BUENOS AIR,CF,FLORES,,,,,1001,,582648,343744,14.000,2,120,C-0383,DMC,DMC 18-LC,20.0,-85.0,901,ANDREW,HP 1.2m.,V,245.3,-0.3,23,75,1.5,C.R.M. S.A.,3713CNT 92,A,MXD
181,69,18630.000,18750.000,,VICENTE LOPEZ,BA,SARMIENTO 2350,SARMIENTO,2350,,,1638,,583014,343011,14.000,2,120,C-0383,DMC,DMC 18-LC,20.0,-85.0,901,ANDREW,HP 1.2m.,V,191.0,0.2,22,32,1.5,C.R.M. S.A.,3713CNT 92,A,MXD
181,70,18750.000,18630.000,,CIUDAD DE BUENOS AIR,CF,RODRIGUEZ PEÑA 3521,RODRIGUEZ PEÑA,3521,,,1001,,583125,343511,14.000,2,120,C-0383,DMC,DMC 18-LC,20.0,-85.0,901,ANDREW,HP 1.2m.,V,11.0,-0.2,24,65,1.5,C.R.M. S.A.,3713CNT 92,A,MXD
181,73,18630.000,18750.000,,CIUDAD DE BUENOS AIR,CF,SAN CRITOBAL,,,,,1001,,582325,343646,14.000,2,120,C-0383,DMC,DMC 18-LC,20.0,-85.0,900,ANDREW,HP 0.6m.,V,315.9,-0.7,20,73,1.5,C.R.M. S.A.,3713CNT 92,A,MXD
181,74,18750.000,18630.000,,CIUDAD DE BUENOS AIR,CF,ONCE,,,,,1001,,582404,343612,14.000,2,120,C-0383,DMC,DMC 18-LC,20.0,-85.0,900,ANDREW,HP 0.6m.,V,135.9,0.7,15,57,1.5,C.R.M. S.A.,3713CNT 92,A,MXD
181,85,18277.500,19287.500,AYG827,TAPIALES,BA,MERCADO DE ABASTO,ALTOLAGUIRRE,64,,,1770,AYG915,583021,344156,28.000,2,480,,,,29.0,-75.0,902,MARK,6 pies,V,162.0,0.0,16,30,0.7,MINIPHONE S.A.,5587CNT 92,A,MXD
181,86,19287.500,18277.500,AYG915,LOMAS DE ZAMORA,BA,SANTA FE 159,SANTA FE,159,,,1832,AYG827,582506,344518,28.000,2,480,,,,29.0,-75.0,902,MARK,6 pies,V,342.0,0.0,11,25,0.7,MINIPHONE S.A.,5587CNT 92,A,MXD
181,87,18277.500,19287.500,AYG906,CIUDAD DE BUENOS AIR,CF,VIEYTES 1152,VIEYTES,1152,,,1001,AYG906,582236,343845,28.000,2,480,,,,20.0,-75.0,900,MARK,2 pies,V,348.0,0.0,5,34,0.7,MINIPHONE S.A.,5587CNT 92,A,MXD
