Códigos de Tipo de Antena (Campo "TA" de la base de datos MICRO.DBF)||||||||||
||||||||||
CODIGO DE BANDA|BANDA (GHz)|TIPO (Campo TA)|DESCRIPCION|MARCA|GMAX (dBi)|b1 (º)|b(1/3)|bo(º)|XPD|FB
11|1.5|100|P 1.5M||23.9|8.4|0|0|37|32
11|1.5|101|OMNIDIRECC.||8|360|0|0|8|0
11|1.5|102|P GRI. 2M||27|8|10|90|25|30
11|1.5|103|P GRI. 3M||30|5|6|90|25|32
11|1.5|104|P GRI. 4M||33|4|4|90|25|34
11|1.5|105|CORNETA||25|10|10|90|25|27
21|1.7-2.1|201|P 1.2M||25.1|5|15|30|30|33
21|1.7-2.1|202|P 1.5M||27|4|10|50|30|33
21|1.7-2.1|203|P 1.8M||28.7|3|8.5|45|30|36
21|1.7-2.1|204|P 2.4M||31.2|2|6.5|40|30|39
21|1.7-2.1|205|P 3M||33.2|2|6.3|27|30|42
21|1.7-2.1|206|P 3.7M||34.7|1.5|5.5|30|30|45
21|1.7-2.1|207|P 4.6M HP||37.4|1.2|11|30|30|58
21|1.7-2.1|208|OMNI||10|180|180|180|30|30
21|1.7-2.1|209|P 14.5M||47.9|0.5|7.5|80|35|62
22|2.3-2.5|301|OMNIDIREC.|TIL-TEK TA-2300|10|360|0|0|20|0
22|2.3-2.5|302|P GRI. 1.2M||27.6|6.9|18|90|30|30
22|2.3-2.5|303|P GRI. 1.8M||31.4|4.5|15|90|30|35
22|2.3-2.5|304|DIEDRO||19|16|65|90|20|20
22|2.3-2.5|305|P 3M||34|3.7|7|90|34|42
23|2.5-2.7|401|P GRI 1.5M||29|7|18|80|30|38
23|2.5-2.7|402|P GRI 2M||32|5|18|80|30|40
23|2.5-2.7|403|P GRI 3M||36|2|15|80|30|45
23|2.5-2.7|404|P GRI 4M||38|1.5|15|80|30|48
23|2.5-2.7|405|P 2M HP||32|4|13|50|30|55
23|2.5-2.7|406|P 2.4M HP||34|4|9|38|30|58
23|2.5-2.7|407|P 4.6M PROM.||38|7|18|80|30|38
23|2.5-2.7|408|P 1.5M|CSTAR15-24|29.1|2|6|100|25|35
70|7|801|P PROM.||43|2|20|30|30|49
70|7|802|P 1.5M||37|2.2|20|30|30|44
70|7|803|P 2M||40.5|1.5|20|30|30|48
70|7|804|P 3M||44.7|0.9|20|30|30|52
70|7|805|P 4M||46.7|0.7|20|30|30|54
70|7|806|P 1.8M HP||40.5|1.5|20|30|30|65
70|7|807|P 2.4M HP||43|1.1|20|30|30|67
70|7|808|P 3M HP||44.7|0.9|20|30|30|70
70|7|809|P 1.2M||35.2|2.2|20|45|30|44
70|7|810|P 0.75M||0|0|0|0|0|0
62|6.4-7.1|651|P 2M|STAR20 COMELIT|40.5|1.7|8|120|30|50
62|6.4-7.1|652|P 2M HP|HP20 COMELIT|40.6|1.7|6|18|32|67
62|6.4-7.1|653|P 2.4M|STAR24 COMELIT|42.2|1.3|7|120|30|52
62|6.4-7.1|654|P 2.4M IPER|IPER24 COMELIT|42.2|1.3|5|13|32|64
62|6.4-7.1|655|P 2.4M HP|HP24 COMELIT|42.1|1.3|5|19|32|70
62|6.4-7.1|656|P 3M IPER|IPER30 COMELIT|44|1.2|5.5|15|32|68
62|6.4-7.1|657|P 3M|STAR30 COMELIT|44|1.2|7|120|30|54
